source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for Android,"mention crime infested) rather than falsely complaining about the election results. All talk, talk, talk - no action or results. Sad!",Sat Jan 14 13:07:12 +0000 2017,16589,76914,FALSE,820255947956383744
Twitter for Android,"INTELLIGENCE INSIDERS NOW CLAIM THE TRUMP DOSSIER IS ""A COMPLETE FRAUD!""  @OANN",Sat Jan 14 13:14:13 +0000 2017,19016,68388,FALSE,820257714362314753
Twitter for Android,Congressman John Lewis should finally focus on the burning and crime infested inner-cities of the U.S. I can use all the help I can get!,Sun Jan 15 00:22:01 +0000 2017,22082,95424,FALSE,820425770925338624
Twitter for Android,"Inauguration Day is turning out to be even bigger than expected. January 20th, Washington D.C. Have fun!",Sun Jan 15 01:58:57 +0000 2017,25132,121185,FALSE,820450166331346944
Twitter for Android,"The Democrats are most angry that so many Obama Democrats voted for me. With all of the jobs I am bringing back to our Nation, that number..",Sun Jan 15 13:59:29 +0000 2017,16139,79126,FALSE,820631495660408835
Twitter for Android,"will only get higher. Car companies and others, if they want to do business in our country, have to start making things here again. WIN!",Sun Jan 15 14:02:41 +0000 2017,15210,78268,FALSE,820632299037409280
Twitter for Android,"For many years our country has been divided, angry and untrusting. Many say it will never change, the hatred is too deep. IT WILL CHANGE!!!!",Sun Jan 15 19:00:21 +0000 2017,29527,127759,FALSE,820707210565132288
Twitter for Android,"Thank you to Bob Woodward who said, ""That is a garbage document...it never should have been presented...Trump's right to be upset (angry)...",Sun Jan 15 20:04:38 +0000 2017,16099,69696,FALSE,820723387995717632
Twitter for Android,"about that...Those Intelligence chiefs made a mistake here, &amp; when people make mistakes, they should APOLOGIZE."" Media should also apologize",Sun Jan 15 20:13:00 +0000 2017,15313,70395,FALSE,820725491812487170
Twitter for Android,".@NBCNews is bad but Saturday Night Live is the worst of NBC. Not funny, cast is terrible, always a complete hit job. Really bad television!",Sun Jan 15 22:46:33 +0000 2017,18845,84723,FALSE,820764134857969666
Twitter for Android,".@FoxNews ""Outgoing CIA Chief, John Brennan, blasts Pres-Elect Trump on Russia threat. Does not fully understand."" Oh really, couldn't do...",Mon Jan 16 00:16:20 +0000 2017,11443,45324,FALSE,820786730257285120
Twitter for Android,"much worse - just look at Syria (red line), Crimea, Ukraine and the build-up of Russian nukes. Not good! Was this the leaker of Fake News?",Mon Jan 16 00:29:05 +0000 2017,13993,58849,FALSE,820789938887294977
Twitter for Android,Celebrate Martin Luther King Day and all of the many wonderful things that he stood for. Honor him for being the great man that he was!,Mon Jan 16 13:54:52 +0000 2017,37896,161320,FALSE,820992721120854016
Twitter for Android,"""@levisteveholt: @realDonaldTrump I appreciate your use of Twitter to keep us informed and maintain transparency."" Very dishonest media!",Tue Jan 17 01:42:18 +0000 2017,12578,61205,FALSE,821170750983995392
Twitter for Android,"At 9:00 P.M. @CNN, of all places, is doing a Special Report on my daughter, Ivanka. Considering it is CNN, can't imagine it will be great!",Tue Jan 17 01:49:38 +0000 2017,11523,58075,FALSE,821172595869577220
Twitter for Android,"""@drgoodspine: @realDonaldTrump @Ivanka Trump is great, a woman with real character and class.""",Tue Jan 17 02:08:21 +0000 2017,8199,46914,FALSE,821177307708661761
Twitter for Android,"People are pouring into Washington in record numbers. Bikers for Trump are on their way. It will be a great Thursday, Friday and Saturday!",Tue Jan 17 13:05:10 +0000 2017,24946,120615,FALSE,821342600322043905
Twitter for Android,"The same people who did the phony election polls, and were so wrong, are now doing approval rating polls. They are rigged just like before.",Tue Jan 17 13:11:56 +0000 2017,24425,106609,FALSE,821344302651555840
Twitter for Android,"With all of the jobs I am bringing back into the U.S. (even before taking office), with all of the new auto plants coming back into our.....",Tue Jan 17 14:30:19 +0000 2017,11043,59063,FALSE,821364027506966532
